"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,833333333333333;0,647058823529412;0,626158286511317;0,952646373392743;0,666666666666667;0,0593512142704935;0,617075077451974;0,875;0,8125;0,7;0,928571428571429;0,7;0,875;0,777777777777778;0,333333333333333;0,291666666666667;0,416666666666667;0,84375
"svmPoly";0,875;0,727272727272727;0,676388641811167;0,973440685013751;0,666666666666667;0,0199000693412889;1;0,875;0,875;0,777777777777778;0,933333333333333;0,777777777777778;0,875;0,823529411764706;0,333333333333333;0,291666666666667;0,375;0,875
"svmLinear";0,708333333333333;0,275862068965518;0,489052186142167;0,873847911476309;0,666666666666667;0,423804648378383;0,449691797968891;0,375;0,875;0,6;0,736842105263158;0,6;0,375;0,461538461538462;0,333333333333333;0,125;0,208333333333333;0,625
"voomDLDA";0,833333333333333;0,647058823529412;0,626158286511317;0,952646373392743;0,666666666666667;0,0593512142704935;0,617075077451974;0,875;0,8125;0,7;0,928571428571429;0,7;0,875;0,777777777777778;0,333333333333333;0,291666666666667;0,416666666666667;0,84375
"voomDQDA";0,833333333333333;0,647058823529412;0,626158286511317;0,952646373392743;0,666666666666667;0,0593512142704935;0,617075077451974;0,875;0,8125;0,7;0,928571428571429;0,7;0,875;0,777777777777778;0,333333333333333;0,291666666666667;0,416666666666667;0,84375
"voomNSC";0,791666666666667;0,571428571428571;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;0,371093369522698;0,875;0,75;0,636363636363636;0,923076923076923;0,636363636363636;0,875;0,736842105263158;0,333333333333333;0,291666666666667;0,458333333333333;0,8125
"PLDA";0,791666666666667;0,571428571428571;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;0,371093369522698;0,875;0,75;0,636363636363636;0,923076923076923;0,636363636363636;0,875;0,736842105263158;0,333333333333333;0,291666666666667;0,458333333333333;0,8125
"PLDA2";0,791666666666667;0,571428571428571;0,578487156362747;0,928681382801945;0,666666666666667;0,138253504128902;0,371093369522698;0,875;0,75;0,636363636363636;0,923076923076923;0,636363636363636;0,875;0,736842105263158;0,333333333333333;0,291666666666667;0,458333333333333;0,8125
"NBLDA";0,833333333333333;0,647058823529412;0,626158286511317;0,952646373392743;0,666666666666667;0,0593512142704935;0,617075077451974;0,875;0,8125;0,7;0,928571428571429;0,7;0,875;0,777777777777778;0,333333333333333;0,291666666666667;0,416666666666667;0,84375
"sparseLDA";0,666666666666667;0;0,446780384340352;0,843697714290865;0,666666666666667;0,594466074433736;0,0133283287808176;0;1;NA;0,666666666666667;NA;0;NA;0,333333333333333;0;0;0,5
